Node ID,Node Title,Centrality Authority/organization x organization,Centrality Betweenness/organization x organization,Centrality Betweenness/organization x organization/[unscaled],Clique Count/organization x organization,Centrality Closeness/organization x organization,Centrality Closeness/organization x organization/[unscaled],Density Clustering Coefficient/organization x organization,Centrality Eigenvector/organization x organization,Centrality Eigenvector/organization x organization/[unscaled],Centrality Eigenvector Per Component/organization x organization,Centrality Hub/organization x organization,Centrality In-Closeness/organization x organization,Centrality In-Closeness/organization x organization/[unscaled],Centrality In Degree/organization x organization,Centrality In Degree/organization x organization/[unscaled],Centrality Information/organization x organization,Centrality Information/organization x organization/[unscaled],Centrality Inverse Closeness/organization x organization,Centrality Inverse Closeness/organization x organization/[unscaled],Centrality Out Degree/organization x organization,Centrality Out Degree/organization x organization/[unscaled],Simmelian Ties/organization x organization,Simmelian Ties/organization x organization/[unscaled],Centrality Total Degree/organization x organization,Centrality Total Degree/organization x organization/[unscaled],Component Members Weak/organization x organization,
0,BrighamYoung,0.1506,0.0325,209.2678,3.0000,0.4238,0.0037,0.3485,0.1506,0.1065,0.1065,0.1506,0.4238,0.0037,0.1053,12.0000,0.0094,4.7277,0.4751,54.1667,0.1053,12.0000,0.0877,10.0000,0.1053,12.0000,1.0000,
1,FloridaState,0.1363,0.0176,113.4976,2.0000,0.4130,0.0036,0.4394,0.1363,0.0964,0.0964,0.1363,0.4130,0.0036,0.1053,12.0000,0.0091,4.5825,0.4664,53.1667,0.1053,12.0000,0.0789,9.0000,0.1053,12.0000,1.0000,
2,Iowa,0.1644,0.0131,84.5220,11.0000,0.4071,0.0036,0.3788,0.1644,0.1163,0.1163,0.1644,0.4071,0.0036,0.1053,12.0000,0.0093,4.6999,0.4598,52.4167,0.1053,12.0000,0.1053,12.0000,0.1053,12.0000,1.0000,
3,KansasState,0.1503,0.0231,148.5945,6.0000,0.4207,0.0037,0.3333,0.1503,0.1063,0.1063,0.1503,0.4207,0.0037,0.1053,12.0000,0.0093,4.6813,0.4722,53.8333,0.1053,12.0000,0.0877,10.0000,0.1053,12.0000,1.0000,
4,NewMexico,0.1431,0.0107,68.6860,3.0000,0.4028,0.0035,0.4182,0.1431,0.1012,0.1012,0.1431,0.4028,0.0035,0.0965,11.0000,0.0089,4.4718,0.4554,51.9167,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,
5,TexasTech,0.1446,0.0107,68.6674,10.0000,0.3838,0.0034,0.3636,0.1446,0.1023,0.1023,0.1446,0.3838,0.0034,0.1053,12.0000,0.0092,4.6229,0.4430,50.5000,0.1053,12.0000,0.0965,11.0000,0.1053,12.0000,1.0000,
6,PennState,0.1596,0.0197,126.7672,9.0000,0.4254,0.0037,0.3182,0.1596,0.1129,0.1129,0.1596,0.4254,0.0037,0.1053,12.0000,0.0094,4.7231,0.4766,54.3333,0.1053,12.0000,0.0702,8.0000,0.1053,12.0000,1.0000,
7,SouthernCalifornia,0.1707,0.0146,93.8005,18.0000,0.4014,0.0035,0.3939,0.1707,0.1207,0.1207,0.1707,0.4014,0.0035,0.1053,12.0000,0.0091,4.5896,0.4591,52.3333,0.1053,12.0000,0.0877,10.0000,0.1053,12.0000,1.0000,
8,ArizonaState,0.1525,0.0050,32.2607,18.0000,0.3608,0.0032,0.4727,0.1525,0.1078,0.1078,0.1525,0.3608,0.0032,0.0965,11.0000,0.0086,4.3384,0.4196,47.8333,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,
9,SanDiegoState,0.1507,0.0118,76.2044,6.0000,0.3972,0.0035,0.4727,0.1507,0.1065,0.1065,0.1507,0.3972,0.0035,0.0965,11.0000,0.0088,4.4324,0.4481,51.0833,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,
